content_id,title,href
f2d8f3a9df07266326a94ab358d65aee,Cloud Discovery (Cloud Risk),Settings_Configuring_NPRE.html#navPoint_96
e962d1122ce4d81d44c8fbe8cd2302c7,Configuring NPRE,Settings_Configuring_NPRE_Accessing_the_Configuration_Settings.html#navPoint_97
20f641cef89c3924016242d09f752a94,Accessing the Configuration Settings,Settings_Configuring_NPRE_How_to_Set_Thresholds.html#navPoint_98
9626efc9ae863b04d449bdba9731259e,How to Set Thresholds,Settings_Configuring_NPRE_How_to_Configure_Risk_Data_Sources.html#navPoint_99
a14f8b2135a83c1e04ee4ae16c5da15f,How to Configure Risk Data Sources,Settings_Configuring_NPRE_How_to_Configure_User_Exclusion_Filters.html#navPoint_100
f1c21a8e248bd4efbc3e17876690d2cb,How to Configure User Exclusion Filters,Settings_Configuring_NPRE_How_to_Set_Default_Risk_for_Privileged_Risk_Groups.html#navPoint_101
744a849dcfa441a4249ba18fb8e80131,How to Set Default Risk for Privileged Risk Groups,Settings_Configuring_NPRE_How_to_Edit_a_Monitoring_Group.html#navPoint_102
9256f9bb3aa0e6aaf9bc441bb1f89001,How to Edit a Monitoring Group,Settings_Configuring_NPRE_How_to_Create_User-Defined_Monitoring_Groups_via_csv_Upload.html#navPoint_103
dce79288e0e04fe279d697738d5d2b3f,How to Create User-Defined Monitoring Groups via csv Upload,Settings_Configuring_NPRE_How_to_Create_User-Defined_Monitoring_Groups_in_the_Monitoring_Groups_Page.html#navPoint_104
9f65e2e7b6249a7afdfbb7c24f947169,How to Create User-Defined Monitoring Groups in the Monitoring Groups Page,Settings_Configuring_NPRE_How_to_Set_the_Data_Collection_Period.html#navPoint_105
c79dbb413d632ecdbbee22594e51b404,How to Set the Data Collection Period,Settings_Configuring_NPRE_How_to_Manage_Risk_Profiles.html#navPoint_106
c2cf4792ed3ed7159327e9820ed09a8d,How to Manage Risk Profiles,Settings_Configuring_NPRE_How_to_Set_Countries_Risk.html#navPoint_107
58426a1ec220782b86da296281550ce1,How to Set Countries Risk,Settings_Configuring_NPRE_How_to_Add_an_NPRE_User.html#navPoint_108
72902574dbb70c52c1e2d39acb8a2e1a,How to Add an NPRE User,Settings_Configuring_Cloud_Risk_View.html#navPoint_109
939756c4df4edb369be05528798cd5ac,Configuring Cloud Risk View,Settings_Configuring_Cloud_Risk_View_Thresholds_Cloud_Apps_Risk_Group.html#navPoint_110
500445c3ebfc4db542292347c568654d,Thresholds: Cloud Apps Risk Group,Settings_Configuring_Cloud_Risk_View_Cloud_Risk_Data_Sources.html#navPoint_111
440ab69bdc20530d6b88295634568295,Cloud Risk Data Sources,Settings_Configuring_Cloud_Risk_View_Cloud_Risk_Custom_Apps_Groups.html#navPoint_112
696b536f93bee6a5588dfb0af7f40872,Cloud Risk Custom Apps Groups,Settings_Configuring_Cloud_Risk_View_Cloud_Discovery.html#navPoint_113
7e2b6a325fda2d35a337c8936c563a14,Cloud Discovery,Settings_Configuring_Cloud_Risk_View_Zscaler.html#navPoint_114
21dedacf1313d2508295c2226a5dfaef,Zscaler,Reports.html#navPoint_115
c431625a7dee53a66ef8cfc331b3b51b,Reports,Reports_Generating_Reports.html#navPoint_116
0c056ca088b84c8191d6f9a7447f0804,Generating Reports,Reports_Organization_Risk_Report.html#navPoint_117
55e073ad6978e7e6a9adb78464b58038,Organization Risk Report,Reports_Organization_Risk_Report_Organization_Report_Pane.html#navPoint_118
049eaf07576e2d42d6eae62497f66412,Organization Report Pane,Reports_User_Risk_Digest.html#navPoint_119
974c0dc0cc11398bda1a14f82f77425a,User Risk Digest,Reports_User_Risk_Digest_User_Risk_Digest_Pane.html#navPoint_120
b39e25a571c479a7b25a5598f2c29b13,User Risk Digest Pane,Appendix_A_NPRE_Risk_Attributes.html#navPoint_121
3675fae60abd170bf4049c60f8340d63,Appendix A: NPRE Risk Attributes,Appendix_B_Cloud_Risk_View_Risk_Attributes.html#navPoint_122
2aefb475591486be3d6794039c88698e,Appendix B: Cloud Risk View Risk Attributes,Appendix_С_NPRE_API.html#navPoint_123
3b2684d8c1eea93aecddf775a424306c,Appendix С: NPRE API,Appendix_С_NPRE_API_NPRE_Data_Files.html#navPoint_124
eccd1ee0bc1425f86b1ddfb6dfe4c150,NPRE Data Files,Appendix_С_NPRE_API_Using_the_NPRE_API.html#navPoint_125
5ced7893ec41c2c5773b302ef5dc1a69,Using the NPRE API,Appendix_С_NPRE_API_Using_the_NPRE_API_Using_the_NPRE_API_Python.html#navPoint_126
2a59ef8fb1d711bde0c684bc162a2cfc,Using the NPRE API – Python,Appendix_С_NPRE_API_Using_the_NPRE_API_Using_the_NPRE_API_CLI_Curl.html#navPoint_127
79c27f9a20aa10feb18c3ab61029497a,Using the NPRE API – CLI (Curl),Appendix_С_NPRE_API_Using_the_NPRE_API_People_Groups_File_Schema.html#navPoint_128
fe55148fa2fa75a6fea004fd9c22ad06,People Groups File Schema,Appendix_D_Cloud_Risk_Application_Categories.html#navPoint_129
6239eee996c9b6f16944d08d2da1624e,Appendix D: Cloud Risk Application Categories,file131.html#navPoint_130
